232
111	4900.3527 	    55.7205 	-1232.5197
112	4901.7747 	    55.4432 	-832.7152 
113	4901.9257 	    56.6452 	-438.0607 
114	4902.3752 	    58.1170 	-52.6039  
115	4902.9332 	    60.0279 	335.4100  
116	4902.7715 	    60.5822 	733.6158  
117	4901.4431 	    61.1469 	1117.7039 
118	4899.7364 	    59.3235 	1515.0181 
119	4898.0080 	    59.1399 	1894.7118 
121	4887.2527 	  951.9316 	-1224.9870 
122	4887.3930 	  952.0093 	-821.1054  
123	4887.8351 	  951.2653 	-429.1744  
124	4887.5927 	  952.0224 	-36.9360   
125	4886.9903 	  951.1403 	349.1724   
126	4886.2598 	  951.7763	751.6576   
127	4885.6289 	  950.8163 	1132.4439  
128	4884.6169 	  952.3264 	1513.7755  
129	4884.0094 	  950.6437 	1895.2923  
130	4875.7170 	1945.5154 	1908.6656  
131	4877.4703 	1946.8126 	-1226.8589 
132	4878.7835 	1946.2769 	-876.4610  
133	4879.0349 	1946.6350 	-509.5316  
134	4879.1238 	1949.0523 	-118.0412  
135	4879.0993 	1946.6168 	179.7169   
136	4878.3591 	1945.7800 	486.5452   
137	4878.0239 	1946.3399 	789.5916   
138	4877.2666 	1945.5869 	1187.0975  
139	4876.2426 	1945.4894 	1579.8295  
140	4871.0405 	2846.4959 	1904.6051  
141	4873.5906 	2849.3635 	-1231.7512 
142	4873.6725 	2848.8549 	-881.0698  
143	4873.2263 	2848.9729 	-505.2728  
144	4871.5357 	2847.1560 	-118.0988  
145	4871.6103 	2848.4021 	178.8890   
146	4871.5589 	2847.6036 	484.8269   
147	4871.2679 	2846.5337 	779.7331   
148	4870.8254 	2847.4029 	1173.3574  
149	4870.6036 	2847.1418 	1522.5145  
150	4866.0580 	3648.2525 	1901.0752  
151	4869.9921 	3649.0578 	-1222.7428 
152	4868.8408 	3648.5656 	-878.2805  
153	4868.0945 	3649.1489 	-502.4445  
154	4866.0752 	3646.9610 	-116.5398  
155	4866.5737 	3645.7228 	181.2241   
156	4866.2349 	3646.5151 	482.2127   
157	4866.0805 	3646.9834 	780.8617   
158	4866.1597 	3644.5398 	1175.0602  
159	4864.6898 	3645.9706 	1523.4677  
161	4869.0735 	4587.9417 	-1233.8797 
162	4866.7520 	4586.8168 	-871.5063  
163	4865.7476 	4586.4515 	-464.1917  
164	4865.2655 	4586.4180 	-75.1265   
165	4865.0410 	4585.4090 	310.4206   
166	4864.7884 	4586.1865 	721.9780   
167	4864.8622 	4585.7572 	1110.9603  
168	4863.9621 	4586.5077 	1527.5239  
169	4865.2569 	4587.1896 	1900.7025  
171	4865.4365 	5440.4446 	-1236.9061 
172	4867.1402 	5437.8249 	-869.7969  
173	4865.6286 	5436.4623 	-461.2668  
174	4866.1553 	5436.0907 	-71.0889   
175	4865.0879 	5435.3463 	315.2550   
176	4865.4312 	5434.9795 	729.4937   
177	4865.4390 	5433.8856 	1116.6559  
178	4864.2835 	5433.5518 	1532.2379  
179	4864.4376 	5434.7153 	1902.6323  
