433	500.5	537
432	512	1107
431	528.226	1669
430	549.524	2235.04
334	945.949	669.439
333	953.135	1013.21
332	965.449	1428.62
331	979.783	1841.19
330	991	2221
224	1853.09	349.717
223	1861.07	882.438
222	1867.49	1396.18
146	2379.93	140.245
145	2384.5	564.5
144	2386.43	973.673
143	2392.05	1501.17
156	3384.3	177.5
155	3382.71	573.831
365	3691.93	133.579
364	3691.65	542.346
363	3686.23	932.019
362	3682.91	1322.3
361	3676.23	1703.85
462	2196.5	1071.57
452	1676.21	1080.38
472	2715.17	1066.17
136	1113.93	105.931
135	1124.55	556.165
134	1138.28	989.094
133	1149.43	1551.54
132	1163.86	2069.76
